"Notes"	"State"	"State Code"	"Year"	"Year Code"	"UCD - Injury Intent"	"UCD - Injury Intent Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2018"	"2018"	"Unintentional"	"1"	24	4887871	0.49101
	"Alabama"	"01"	"2018"	"2018"	"Suicide"	"2"	552	4887871	11.29326
	"Alabama"	"01"	"2018"	"2018"	"Homicide"	"3"	468	4887871	9.57472
	"Alabama"	"01"	"2018"	"2018"	"Undetermined "	"4"	16	4887871	Unreliable
	"Alabama"	"01"	"2019"	"2019"	"Unintentional"	"1"	29	4903185	0.59145
	"Alabama"	"01"	"2019"	"2019"	"Suicide"	"2"	543	4903185	11.07443
	"Alabama"	"01"	"2019"	"2019"	"Homicide"	"3"	486	4903185	9.91192
	"Alabama"	"01"	"2019"	"2019"	"Undetermined "	"4"	13	4903185	Unreliable
	"Alaska"	"02"	"2018"	"2018"	"Suicide"	"2"	107	737438	14.50969
	"Alaska"	"02"	"2018"	"2018"	"Homicide"	"3"	37	737438	5.01737
	"Alaska"	"02"	"2019"	"2019"	"Suicide"	"2"	117	731545	15.99355
	"Alaska"	"02"	"2019"	"2019"	"Homicide"	"3"	51	731545	6.97155
	"Arizona"	"04"	"2018"	"2018"	"Unintentional"	"1"	11	7171646	Unreliable
	"Arizona"	"04"	"2018"	"2018"	"Suicide"	"2"	802	7171646	11.18293
	"Arizona"	"04"	"2018"	"2018"	"Homicide"	"3"	293	7171646	4.08553
	"Arizona"	"04"	"2018"	"2018"	"Undetermined "	"4"	16	7171646	Unreliable
	"Arizona"	"04"	"2018"	"2018"	"Legal Intervention / Operations of War"	"5"	25	7171646	0.34860
	"Arizona"	"04"	"2019"	"2019"	"Unintentional"	"1"	13	7278717	Unreliable
	"Arizona"	"04"	"2019"	"2019"	"Suicide"	"2"	809	7278717	11.11460
	"Arizona"	"04"	"2019"	"2019"	"Homicide"	"3"	285	7278717	3.91553
	"Arizona"	"04"	"2019"	"2019"	"Undetermined "	"4"	16	7278717	Unreliable
	"Arizona"	"04"	"2019"	"2019"	"Legal Intervention / Operations of War"	"5"	13	7278717	Unreliable
	"Arkansas"	"05"	"2018"	"2018"	"Unintentional"	"1"	13	3013825	Unreliable
	"Arkansas"	"05"	"2018"	"2018"	"Suicide"	"2"	345	3013825	11.44725
	"Arkansas"	"05"	"2018"	"2018"	"Homicide"	"3"	194	3013825	6.43700
	"Arkansas"	"05"	"2018"	"2018"	"Legal Intervention / Operations of War"	"5"	14	3013825	Unreliable
	"Arkansas"	"05"	"2019"	"2019"	"Unintentional"	"1"	14	3017804	Unreliable
	"Arkansas"	"05"	"2019"	"2019"	"Suicide"	"2"	341	3017804	11.29961
	"Arkansas"	"05"	"2019"	"2019"	"Homicide"	"3"	208	3017804	6.89243
	"California"	"06"	"2018"	"2018"	"Unintentional"	"1"	34	39557045	0.08595
	"California"	"06"	"2018"	"2018"	"Suicide"	"2"	1629	39557045	4.11810
	"California"	"06"	"2018"	"2018"	"Homicide"	"3"	1275	39557045	3.22319
	"California"	"06"	"2018"	"2018"	"Undetermined "	"4"	21	39557045	0.05309
	"California"	"06"	"2018"	"2018"	"Legal Intervention / Operations of War"	"5"	81	39557045	0.20477
	"California"	"06"	"2019"	"2019"	"Unintentional"	"1"	27	39512223	0.06833
	"California"	"06"	"2019"	"2019"	"Suicide"	"2"	1586	39512223	4.01395
	"California"	"06"	"2019"	"2019"	"Homicide"	"3"	1246	39512223	3.15345
	"California"	"06"	"2019"	"2019"	"Undetermined "	"4"	10	39512223	Unreliable
	"California"	"06"	"2019"	"2019"	"Legal Intervention / Operations of War"	"5"	76	39512223	0.19235
	"Colorado"	"08"	"2018"	"2018"	"Suicide"	"2"	660	5695564	11.58797
	"Colorado"	"08"	"2018"	"2018"	"Homicide"	"3"	188	5695564	3.30081
	"Colorado"	"08"	"2018"	"2018"	"Legal Intervention / Operations of War"	"5"	25	5695564	0.43894
	"Colorado"	"08"	"2019"	"2019"	"Suicide"	"2"	647	5758736	11.23510
	"Colorado"	"08"	"2019"	"2019"	"Homicide"	"3"	164	5758736	2.84785
	"Colorado"	"08"	"2019"	"2019"	"Legal Intervention / Operations of War"	"5"	21	5758736	0.36466
	"Connecticut"	"09"	"2018"	"2018"	"Suicide"	"2"	127	3572665	3.55477
	"Connecticut"	"09"	"2018"	"2018"	"Homicide"	"3"	54	3572665	1.51148
	"Connecticut"	"09"	"2019"	"2019"	"Suicide"	"2"	118	3565287	3.30969
	"Connecticut"	"09"	"2019"	"2019"	"Homicide"	"3"	65	3565287	1.82314
	"Delaware"	"10"	"2018"	"2018"	"Suicide"	"2"	58	967171	5.99687
	"Delaware"	"10"	"2018"	"2018"	"Homicide"	"3"	46	967171	4.75614
	"Delaware"	"10"	"2019"	"2019"	"Suicide"	"2"	45	973764	4.62124
	"Delaware"	"10"	"2019"	"2019"	"Homicide"	"3"	45	973764	4.62124
	"District of Columbia"	"11"	"2018"	"2018"	"Homicide"	"3"	116	702455	16.51351
	"District of Columbia"	"11"	"2019"	"2019"	"Suicide"	"2"	12	705749	Unreliable
	"District of Columbia"	"11"	"2019"	"2019"	"Homicide"	"3"	128	705749	18.13676
	"Florida"	"12"	"2018"	"2018"	"Unintentional"	"1"	16	21299325	Unreliable
	"Florida"	"12"	"2018"	"2018"	"Suicide"	"2"	1869	21299325	8.77493
	"Florida"	"12"	"2018"	"2018"	"Homicide"	"3"	977	21299325	4.58700
	"Florida"	"12"	"2018"	"2018"	"Undetermined "	"4"	16	21299325	Unreliable
	"Florida"	"12"	"2018"	"2018"	"Legal Intervention / Operations of War"	"5"	24	21299325	0.11268
	"Florida"	"12"	"2019"	"2019"	"Unintentional"	"1"	12	21477737	Unreliable
	"Florida"	"12"	"2019"	"2019"	"Suicide"	"2"	1808	21477737	8.41802
	"Florida"	"12"	"2019"	"2019"	"Homicide"	"3"	1013	21477737	4.71651
	"Florida"	"12"	"2019"	"2019"	"Undetermined "	"4"	14	21477737	Unreliable
	"Florida"	"12"	"2019"	"2019"	"Legal Intervention / Operations of War"	"5"	25	21477737	0.11640
	"Georgia"	"13"	"2018"	"2018"	"Unintentional"	"1"	15	10519475	Unreliable
	"Georgia"	"13"	"2018"	"2018"	"Suicide"	"2"	987	10519475	9.38260
	"Georgia"	"13"	"2018"	"2018"	"Homicide"	"3"	644	10519475	6.12198
	"Georgia"	"13"	"2018"	"2018"	"Legal Intervention / Operations of War"	"5"	25	10519475	0.23765
	"Georgia"	"13"	"2019"	"2019"	"Unintentional"	"1"	22	10617423	0.20721
	"Georgia"	"13"	"2019"	"2019"	"Suicide"	"2"	955	10617423	8.99465
	"Georgia"	"13"	"2019"	"2019"	"Homicide"	"3"	691	10617423	6.50817
	"Georgia"	"13"	"2019"	"2019"	"Undetermined "	"4"	14	10617423	Unreliable
	"Georgia"	"13"	"2019"	"2019"	"Legal Intervention / Operations of War"	"5"	13	10617423	Unreliable
	"Hawaii"	"15"	"2018"	"2018"	"Suicide"	"2"	30	1420491	2.11195
	"Hawaii"	"15"	"2018"	"2018"	"Homicide"	"3"	20	1420491	1.40796
	"Hawaii"	"15"	"2019"	"2019"	"Suicide"	"2"	41	1415872	2.89574
	"Hawaii"	"15"	"2019"	"2019"	"Homicide"	"3"	14	1415872	Unreliable
	"Idaho"	"16"	"2018"	"2018"	"Suicide"	"2"	250	1754208	14.25145
	"Idaho"	"16"	"2018"	"2018"	"Homicide"	"3"	31	1754208	1.76718
	"Idaho"	"16"	"2019"	"2019"	"Suicide"	"2"	223	1787065	12.47856
	"Idaho"	"16"	"2019"	"2019"	"Homicide"	"3"	18	1787065	Unreliable
	"Illinois"	"17"	"2018"	"2018"	"Suicide"	"2"	573	12741080	4.49726
	"Illinois"	"17"	"2018"	"2018"	"Homicide"	"3"	784	12741080	6.15332
	"Illinois"	"17"	"2019"	"2019"	"Unintentional"	"1"	16	12671821	Unreliable
	"Illinois"	"17"	"2019"	"2019"	"Suicide"	"2"	540	12671821	4.26142
	"Illinois"	"17"	"2019"	"2019"	"Homicide"	"3"	791	12671821	6.24220
	"Illinois"	"17"	"2019"	"2019"	"Undetermined "	"4"	15	12671821	Unreliable
	"Indiana"	"18"	"2018"	"2018"	"Unintentional"	"1"	10	6691878	Unreliable
	"Indiana"	"18"	"2018"	"2018"	"Suicide"	"2"	588	6691878	8.78677
	"Indiana"	"18"	"2018"	"2018"	"Homicide"	"3"	364	6691878	5.43943
	"Indiana"	"18"	"2019"	"2019"	"Unintentional"	"1"	15	6732219	Unreliable
	"Indiana"	"18"	"2019"	"2019"	"Suicide"	"2"	570	6732219	8.46675
	"Indiana"	"18"	"2019"	"2019"	"Homicide"	"3"	355	6732219	5.27315
	"Indiana"	"18"	"2019"	"2019"	"Undetermined "	"4"	12	6732219	Unreliable
	"Iowa"	"19"	"2018"	"2018"	"Suicide"	"2"	231	3156145	7.31906
	"Iowa"	"19"	"2018"	"2018"	"Homicide"	"3"	37	3156145	1.17232
	"Iowa"	"19"	"2019"	"2019"	"Suicide"	"2"	233	3155070	7.38494
	"Iowa"	"19"	"2019"	"2019"	"Homicide"	"3"	49	3155070	1.55306
	"Kansas"	"20"	"2018"	"2018"	"Suicide"	"2"	292	2911505	10.02918
	"Kansas"	"20"	"2018"	"2018"	"Homicide"	"3"	123	2911505	4.22462
	"Kansas"	"20"	"2019"	"2019"	"Suicide"	"2"	291	2913314	9.98862
	"Kansas"	"20"	"2019"	"2019"	"Homicide"	"3"	99	2913314	3.39819
	"Kentucky"	"21"	"2018"	"2018"	"Unintentional"	"1"	23	4468402	0.51473
	"Kentucky"	"21"	"2018"	"2018"	"Suicide"	"2"	509	4468402	11.39110
	"Kentucky"	"21"	"2018"	"2018"	"Homicide"	"3"	207	4468402	4.63253
	"Kentucky"	"21"	"2018"	"2018"	"Undetermined "	"4"	15	4468402	Unreliable
	"Kentucky"	"21"	"2019"	"2019"	"Unintentional"	"1"	21	4467673	0.47004
	"Kentucky"	"21"	"2019"	"2019"	"Suicide"	"2"	445	4467673	9.96044
	"Kentucky"	"21"	"2019"	"2019"	"Homicide"	"3"	201	4467673	4.49899
	"Louisiana"	"22"	"2018"	"2018"	"Unintentional"	"1"	12	4659978	Unreliable
	"Louisiana"	"22"	"2018"	"2018"	"Suicide"	"2"	467	4659978	10.02151
	"Louisiana"	"22"	"2018"	"2018"	"Homicide"	"3"	497	4659978	10.66529
	"Louisiana"	"22"	"2018"	"2018"	"Undetermined "	"4"	11	4659978	Unreliable
	"Louisiana"	"22"	"2019"	"2019"	"Unintentional"	"1"	11	4648794	Unreliable
	"Louisiana"	"22"	"2019"	"2019"	"Suicide"	"2"	446	4648794	9.59389
	"Louisiana"	"22"	"2019"	"2019"	"Homicide"	"3"	542	4648794	11.65894
	"Maine"	"23"	"2018"	"2018"	"Suicide"	"2"	147	1338404	10.98323
	"Maine"	"23"	"2019"	"2019"	"Suicide"	"2"	144	1344212	10.71260
	"Maine"	"23"	"2019"	"2019"	"Homicide"	"3"	13	1344212	Unreliable
	"Maryland"	"24"	"2018"	"2018"	"Suicide"	"2"	266	6042718	4.40199
	"Maryland"	"24"	"2018"	"2018"	"Homicide"	"3"	426	6042718	7.04981
	"Maryland"	"24"	"2018"	"2018"	"Legal Intervention / Operations of War"	"5"	10	6042718	Unreliable
	"Maryland"	"24"	"2019"	"2019"	"Suicide"	"2"	268	6045680	4.43292
	"Maryland"	"24"	"2019"	"2019"	"Homicide"	"3"	468	6045680	7.74106
	"Maryland"	"24"	"2019"	"2019"	"Legal Intervention / Operations of War"	"5"	17	6045680	Unreliable
	"Massachusetts"	"25"	"2018"	"2018"	"Suicide"	"2"	148	6902149	2.14426
	"Massachusetts"	"25"	"2018"	"2018"	"Homicide"	"3"	104	6902149	1.50678
	"Massachusetts"	"25"	"2019"	"2019"	"Suicide"	"2"	142	6892503	2.06021
	"Massachusetts"	"25"	"2019"	"2019"	"Homicide"	"3"	95	6892503	1.37831
	"Michigan"	"26"	"2018"	"2018"	"Suicide"	"2"	806	9995915	8.06329
	"Michigan"	"26"	"2018"	"2018"	"Homicide"	"3"	479	9995915	4.79196
	"Michigan"	"26"	"2018"	"2018"	"Undetermined "	"4"	10	9995915	Unreliable
	"Michigan"	"26"	"2019"	"2019"	"Suicide"	"2"	742	9986857	7.42976
	"Michigan"	"26"	"2019"	"2019"	"Homicide"	"3"	458	9986857	4.58603
	"Minnesota"	"27"	"2018"	"2018"	"Suicide"	"2"	356	5611179	6.34448
	"Minnesota"	"27"	"2018"	"2018"	"Homicide"	"3"	66	5611179	1.17622
	"Minnesota"	"27"	"2018"	"2018"	"Legal Intervention / Operations of War"	"5"	11	5611179	Unreliable
	"Minnesota"	"27"	"2019"	"2019"	"Suicide"	"2"	350	5639632	6.20608
